Local time,open,high,low,close,volume
24.05.2004 00:00:00.000 GMT+0300,1.19887,1.20246,1.19338,1.2005,1137587.004
25.05.2004 00:00:00.000 GMT+0300,1.20048,1.21273,1.19834,1.21075,1127959.896
26.05.2004 00:00:00.000 GMT+0300,1.2112,1.21438,1.20828,1.2102,1125225.402
27.05.2004 00:00:00.000 GMT+0300,1.2108,1.22898,1.20877,1.22632,1145056.303
28.05.2004 00:00:00.000 GMT+0300,1.22624,1.22969,1.22013,1.22148,1125912.215
31.05.2004 00:00:00.000 GMT+0300,1.22374,1.2254,1.21775,1.21884,933131.7012
01.06.2004 00:00:00.000 GMT+0300,1.21894,1.22667,1.21553,1.22477,1127452.811
02.06.2004 00:00:00.000 GMT+0300,1.2248,1.23044,1.22045,1.22115,1131742.898
03.06.2004 00:00:00.000 GMT+0300,1.22141,1.22506,1.217,1.22272,1126101.199
04.06.2004 00:00:00.000 GMT+0300,1.22315,1.23007,1.21405,1.22847,1127057.795
07.06.2004 00:00:00.000 GMT+0300,1.22937,1.23386,1.22755,1.232,1141457.797
08.06.2004 00:00:00.000 GMT+0300,1.23204,1.2351,1.22444,1.2265,1123151.191
09.06.2004 00:00:00.000 GMT+0300,1.22684,1.22752,1.20347,1.20469,1131248.904
